run_dir,run_id,checkpoint_id,epoch,save_reason,val_accuracy,test_accuracy,ood_accuracy,routing_candidate,routing_score,routing_family_min_score,copy_candidate,copy_score,copy_family_min_score,previous_token_site,previous_token_score,previous_token_family_min_score,previous_token_faithfulness_site,previous_token_faithfulness_score,previous_token_faithfulness_family_min_score,target_seen_in_context_site,target_seen_in_context_score,target_seen_in_context_family_min_score,target_seen_in_context_faithfulness_site,target_seen_in_context_faithfulness_score,target_seen_in_context_faithfulness_family_min_score,repeat_distance_bucket_site,repeat_distance_bucket_score,repeat_distance_bucket_family_min_score,repeat_distance_bucket_faithfulness_site,repeat_distance_bucket_faithfulness_score,repeat_distance_bucket_faithfulness_family_min_score,target_token_site,target_token_score,target_token_family_min_score,target_token_faithfulness_site,target_token_faithfulness_score,target_token_faithfulness_family_min_score
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_009,9,scheduled,0.07692307692307693,0.042735042735042736,0.07692307692307693,block1_head0,0.1481481481481481,0.0,block2_head1,0.3703703703703703,0.0,block1_head1_final_v,0.364963503649635,0.0,block1_head1_final_v,0.046875,0.0,block1_head1_final_q,0.5985401459854015,0.0,block1_head1_final_q,0.09375,0.0,block1_head0_final_v,0.4087591240875912,0.0,block1_head0_final_v,0.140625,0.0,block1_head0_final_head_out,0.1313868613138686,0.0,block1_head0_final_head_out,0.0,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_010,10,scheduled,0.05982905982905983,0.02564102564102564,0.03418803418803419,block1_head1,0.1481481481481481,0.0,block2_head1,0.3703703703703703,0.0,block1_head1_final_v,0.364963503649635,0.0,block1_head1_final_v,0.046875,0.0,block1_head0_final_head_out,0.6204379562043796,0.0,block1_head0_final_head_out,0.109375,0.0,block1_head0_final_head_out,0.5036496350364964,0.0,block1_head0_final_head_out,0.109375,0.0,block1_head0_final_head_out,0.1021897810218978,0.0,block1_head0_final_head_out,0.0,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_011,11,scheduled,0.03418803418803419,0.02564102564102564,0.042735042735042736,block1_head0,0.1481481481481481,0.0,block2_head1,0.4074074074074074,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.046875,0.0,block2_head0_final_q,0.6642335766423357,0.0,block2_head0_final_q,0.0625,0.0,block2_head0_final_head_out,0.4890510948905109,0.0,block2_head0_final_head_out,0.046875,0.0,block1_head1_final_v,0.1021897810218978,0.0,block1_head1_final_v,0.046875,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_012,12,scheduled,0.05128205128205128,0.02564102564102564,0.03418803418803419,block1_head0,0.1851851851851851,0.0,block2_head1,0.3333333333333333,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.015625,0.0,block2_head0_final_k,0.6496350364963503,0.0,block2_head0_final_k,0.03125,0.0,block2_head0_final_v,0.5109489051094891,0.0,block2_head0_final_v,0.03125,0.0,block1_head0_final_head_out,0.0948905109489051,0.0,block1_head0_final_head_out,0.015625,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_013,13,scheduled,0.03418803418803419,0.008547008547008548,0.02564102564102564,block1_head0,0.1481481481481481,0.0,block2_head1,0.2962962962962963,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.0,0.0,block2_final_mlp_out,0.6861313868613139,0.0,block2_final_mlp_out,0.0,0.0,block2_final_mlp_out,0.5182481751824818,0.0,block2_final_mlp_out,0.0,0.0,block1_head0_final_head_out,0.1021897810218978,0.0,block1_head0_final_head_out,0.0,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_014,14,scheduled,0.03418803418803419,0.008547008547008548,0.017094017094017096,block1_head1,0.1481481481481481,0.0,block2_head1,0.1481481481481481,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.0,0.0,block2_head0_final_head_out,0.7299270072992701,0.0,block2_head0_final_head_out,0.0,0.0,block2_head0_final_head_out,0.6058394160583942,0.0,block2_head0_final_head_out,0.0,0.0,block1_final_mlp_out,0.0948905109489051,0.0,block1_final_mlp_out,0.0,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_015,15,scheduled,0.042735042735042736,0.02564102564102564,0.017094017094017096,block1_head1,0.1481481481481481,0.0,block2_head0,0.1111111111111111,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.015625,0.0,block2_head0_final_head_out,0.708029197080292,0.0,block2_head0_final_head_out,0.015625,0.0,block2_head0_final_resid_contribution,0.5766423357664233,0.0,block2_head0_final_resid_contribution,0.015625,0.0,block1_head0_final_q,0.0948905109489051,0.0,block1_head0_final_q,0.03125,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_016,16,scheduled,0.05128205128205128,0.008547008547008548,0.042735042735042736,block1_head1,0.1481481481481481,0.0,block2_head1,0.074074074074074,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.0,0.0,block2_head0_final_head_out,0.7445255474452555,0.0,block2_head0_final_head_out,0.0,0.0,block2_head0_final_head_out,0.6496350364963503,0.0,block2_head0_final_head_out,0.0,0.0,block1_head0_final_q,0.0802919708029197,0.0,block1_head0_final_q,0.0,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_017,17,scheduled,0.05128205128205128,0.008547008547008548,0.017094017094017096,block1_head1,0.1481481481481481,0.0,block2_head1,0.074074074074074,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.015625,0.0,block2_head0_final_q,0.6934306569343066,0.0,block2_head0_final_q,0.03125,0.0,block2_head0_final_q,0.5547445255474452,0.0,block2_head0_final_q,0.03125,0.0,block1_head0_final_head_out,0.1240875912408759,0.0,block1_head0_final_head_out,0.0,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_018,18,scheduled,0.05128205128205128,0.02564102564102564,0.017094017094017096,block1_head1,0.1481481481481481,0.0,block1_head1,0.2592592592592592,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.0,0.0,block2_final_mlp_out,0.6861313868613139,0.0,block2_final_mlp_out,0.0,0.0,block2_head0_final_v,0.5328467153284672,0.0,block2_head0_final_v,0.03125,0.0,block2_head1_final_v,0.1313868613138686,0.0,block2_head1_final_v,0.0,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_019,19,scheduled,0.042735042735042736,0.008547008547008548,0.008547008547008548,block1_head1,0.1481481481481481,0.0,block1_head1,0.2592592592592592,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.0,0.0,block1_final_mlp_out,0.6423357664233577,0.0,block1_final_mlp_out,0.015625,0.0,block2_head0_final_v,0.5036496350364964,0.0,block2_head0_final_v,0.0,0.0,block1_head0_final_q,0.1240875912408759,0.0,block1_head0_final_q,0.015625,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_020,20,scheduled,0.05128205128205128,0.017094017094017096,0.02564102564102564,block1_head1,0.1481481481481481,0.0,block2_head0,0.1481481481481481,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.0,0.0,block2_head0_final_v,0.5985401459854015,0.0,block2_head0_final_v,0.03125,0.0,block1_head0_final_v,0.4890510948905109,0.0,block1_head0_final_v,0.015625,0.0,block1_head0_final_q,0.1167883211678832,0.0,block1_head0_final_q,0.015625,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_021,21,scheduled,0.05982905982905983,0.02564102564102564,0.02564102564102564,block1_head1,0.1481481481481481,0.0,block2_head0,0.0,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.0,0.0,block2_final_mlp_out,0.6934306569343066,0.0,block2_final_mlp_out,0.0,0.0,block2_final_mlp_out,0.5182481751824818,0.0,block2_final_mlp_out,0.0,0.0,block1_head0_final_q,0.1313868613138686,0.0,block1_head0_final_q,0.0,0.0
