run_dir,run_id,seed,intervention_signature,intervention_count,checkpoint_id,epoch,save_reason,val_accuracy,test_accuracy,ood_accuracy,query_key_site,query_key_score,query_key_family_min_score,query_key_faithfulness_site,query_key_faithfulness_score,query_key_faithfulness_family_min_score,matching_slot_site,matching_slot_score,matching_slot_family_min_score,matching_slot_faithfulness_site,matching_slot_faithfulness_score,matching_slot_faithfulness_family_min_score,selected_value_site,selected_value_score,selected_value_family_min_score,selected_value_faithfulness_site,selected_value_faithfulness_score,selected_value_faithfulness_family_min_score,routing_candidate,routing_score,routing_family_min_score,copy_candidate,copy_score,copy_family_min_score
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_000,0,scheduled,0.0,0.0,0.0,block2_final_resid_after_mlp,0.99609375,0.0,block2_final_resid_after_mlp,0.0,0.0,block2_final_mlp_out,0.337890625,0.0,block2_final_mlp_out,0.0,0.0,block2_final_resid_after_mlp,0.356640625,0.0,block2_final_resid_after_mlp,0.0,0.0,block1_head1,0.36015625,0.0,block1_head1,0.15703125,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,best_val_epoch_001,1,best_val,0.31633333333333336,0.32066666666666666,0.25266666666666665,block1_head1_final_head_out,0.833203125,0.0,block1_head1_final_head_out,0.3346354166666667,0.3333333333333333,block2_head0_final_k,0.3328125,0.0,block2_head0_final_k,0.33203125,0.1666666666666666,block1_head0_final_head_out,0.348046875,0.0,block1_head0_final_head_out,0.33984375,0.0,block1_head0,0.34609375,0.0,block2_head1,0.835546875,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_001,1,scheduled,0.31633333333333336,0.32066666666666666,0.25266666666666665,block1_head1_final_head_out,0.833203125,0.0,block1_head1_final_head_out,0.3346354166666667,0.3333333333333333,block2_head0_final_k,0.3328125,0.0,block2_head0_final_k,0.33203125,0.1666666666666666,block1_head0_final_head_out,0.348046875,0.0,block1_head0_final_head_out,0.33984375,0.0,block1_head0,0.34609375,0.0,block2_head1,0.835546875,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,best_val_epoch_002,2,best_val,0.32766666666666666,0.3263333333333333,0.24566666666666667,block1_final_resid_after_mlp,0.741015625,0.0,block1_final_resid_after_mlp,0.3333333333333333,0.3333333333333333,block1_final_resid_after_mlp,0.343359375,0.0,block1_final_resid_after_mlp,0.3333333333333333,0.3333333333333333,block1_head0_final_head_out,0.35,0.0,block1_head0_final_head_out,0.37109375,0.0,block1_head0,0.340625,0.0,block2_head1,0.84296875,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_002,2,scheduled,0.32766666666666666,0.3263333333333333,0.24566666666666667,block1_final_resid_after_mlp,0.741015625,0.0,block1_final_resid_after_mlp,0.3333333333333333,0.3333333333333333,block1_final_resid_after_mlp,0.343359375,0.0,block1_final_resid_after_mlp,0.3333333333333333,0.3333333333333333,block1_head0_final_head_out,0.35,0.0,block1_head0_final_head_out,0.37109375,0.0,block1_head0,0.340625,0.0,block2_head1,0.84296875,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_003,3,scheduled,0.327,0.33466666666666667,0.243,block1_final_resid_after_mlp,0.7125,0.0,block1_final_resid_after_mlp,0.33203125,0.1666666666666666,block1_final_resid_after_mlp,0.347265625,0.0,block1_final_resid_after_mlp,0.33203125,0.1666666666666666,block1_head0_final_head_out,0.362109375,0.0,block1_head0_final_head_out,0.3671875,0.0,block1_head0,0.33984375,0.0,block2_head1,0.817578125,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,best_val_epoch_004,4,best_val,0.328,0.31933333333333336,0.24466666666666667,block1_head0_final_head_out,0.696875,0.0,block1_head0_final_head_out,0.33203125,0.1666666666666666,block2_head1_final_v,0.3375,0.0,block2_head1_final_v,0.3333333333333333,0.3333333333333333,block1_head0_final_head_out,0.365625,0.0,block1_head0_final_head_out,0.3515625,0.0,block1_head0,0.34453125,0.0,block2_head1,0.776171875,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_004,4,scheduled,0.328,0.31933333333333336,0.24466666666666667,block1_head0_final_head_out,0.696875,0.0,block1_head0_final_head_out,0.33203125,0.1666666666666666,block2_head1_final_v,0.3375,0.0,block2_head1_final_v,0.3333333333333333,0.3333333333333333,block1_head0_final_head_out,0.365625,0.0,block1_head0_final_head_out,0.3515625,0.0,block1_head0,0.34453125,0.0,block2_head1,0.776171875,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,best_val_epoch_005,5,best_val,0.3353333333333333,0.321,0.25033333333333335,block1_head0_final_head_out,0.680859375,0.0,block1_head0_final_head_out,0.3359375,0.3333333333333333,block1_final_mlp_out,0.3359375,0.0,block1_final_mlp_out,0.3359375,0.3333333333333333,block1_head0_final_head_out,0.363671875,0.0,block1_head0_final_head_out,0.3515625,0.0,block1_head0,0.341015625,0.0,block2_head1,0.76484375,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_005,5,scheduled,0.3353333333333333,0.321,0.25033333333333335,block1_head0_final_head_out,0.680859375,0.0,block1_head0_final_head_out,0.3359375,0.3333333333333333,block1_final_mlp_out,0.3359375,0.0,block1_final_mlp_out,0.3359375,0.3333333333333333,block1_head0_final_head_out,0.363671875,0.0,block1_head0_final_head_out,0.3515625,0.0,block1_head0,0.341015625,0.0,block2_head1,0.76484375,0.0
